"nseason","jd","datediff","nclutch","DoubleBreeders"
2002,132,0,4,0
2002,142,0,5,0
2002,144,0,5,0
2002,144,0,4,0
2002,144,0,5,0
2002,146,0,5,0
2002,146,0,5,0
2002,131,0,8,0
2002,145,0,6,0
2002,145,0,5,0
2002,145,0,5,0
2002,145,0,5,0
2002,147,0,4,0
2002,151,0,5,0
2002,138,0,5,0
2002,146,0,4,0
2002,147,0,5,0
2002,147,0,6,0
2002,149,0,6,0
2002,147,0,5,0
2002,154,0,4,0
2002,147,0,5,0
2002,138,0,5,0
2002,147,0,8,0
2002,148,0,6,0
2002,147,0,5,0
2002,150,0,5,0
2002,147,0,5,0
2002,146,0,5,0
2002,151,0,4,0
2002,149,0,5,0
2002,151,0,5,0
2002,147,0,5,0
2002,148,0,5,0
2002,143,0,4,0
2002,157,0,5,0
2002,144,0,6,0
2002,149,0,6,0
2002,146,0,6,0
2002,146,0,6,0
2002,161,0,4,0
2002,168,0,5,0
2002,164,0,4,0
2002,160,0,5,0
2002,159,0,5,0
2003,141,0,4,0
2003,136,0,6,0
2003,138,0,6,0
2003,136,0,6,0
2003,136,0,7,0
2003,138,0,5,0
2003,139,0,5,0
2003,139,0,5,0
2003,148,0,6,0
2003,146,0,5,0
2003,133,0,5,0
2003,151,0,6,0
2003,141,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,139,0,6,0
2003,152,0,5,0
2003,133,0,5,0
2003,133,0,6,0
2003,131,0,5,0
2003,140,0,6,0
2003,146,0,5,0
2003,130,0,3,0
2003,132,0,6,0
2003,140,0,6,0
2003,142,0,4,0
2003,140,0,6,0
2003,139,0,5,0
2003,144,0,5,0
2003,136,0,5,0
2003,142,0,6,0
2003,134,0,6,0
2003,133,0,6,0
2003,140,0,5,0
2003,139,0,6,0
2003,129,0,5,0
2003,141,0,6,0
2003,140,0,5,0
2003,140,0,6,0
2003,131,0,6,0
2003,138,0,5,0
2003,137,0,5,0
2003,139,0,5,0
2003,141,0,5,0
2003,139,0,5,0
2003,138,0,6,0
2003,139,0,6,0
2003,133,0,5,0
2003,131,0,5,0
2003,143,0,6,0
2003,131,0,6,0
2003,136,0,6,0
2003,137,0,5,0
2003,137,0,5,0
2003,140,0,4,0
2003,136,0,6,0
2003,138,0,6,0
2003,139,0,5,0
2003,137,0,6,0
2003,141,0,5,0
2003,122,0,5,0
2003,141,0,5,0
2003,141,0,5,0
2003,143,0,5,0
2003,143,0,5,0
2003,139,0,7,0
2003,133,0,6,0
2003,138,0,6,0
2003,132,0,6,0
2003,139,0,6,0
2003,129,0,5,0
2003,133,0,5,0
2003,139,0,5,0
2003,139,0,5,0
2003,140,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,141,0,5,0
2003,138,0,5,0
2003,125,0,5,0
2003,131,0,6,0
2003,133,0,6,0
2003,139,0,6,0
2003,131,0,5,0
2003,130,0,4,0
2003,138,0,6,0
2003,138,0,6,0
2003,141,0,6,0
2003,140,0,6,0
2003,141,0,5,0
2003,140,0,6,0
2003,141,0,5,0
2003,133,0,6,0
2003,139,0,6,0
2003,141,0,5,0
2003,135,0,6,0
2003,141,0,5,0
2003,131,0,6,0
2003,132,0,5,0
2003,141,0,6,0
2003,139,0,5,0
2003,141,0,5,0
2003,133,0,6,0
2003,143,0,6,0
2003,140,0,6,0
2003,138,0,6,0
2003,138,0,6,0
2003,140,0,4,0
2003,142,0,5,0
2003,132,0,5,0
2003,140,0,6,0
2003,141,0,5,0
2003,139,0,5,0
2003,138,0,6,0
2003,136,0,4,0
2003,133,0,6,0
2003,139,0,6,0
2003,141,0,6,0
2003,140,0,6,0
2003,138,0,5,0
2003,140,0,6,0
2003,140,0,6,0
2003,138,0,4,0
2003,138,0,4,0
2003,146,0,5,0
2004,132,0,5,0
2004,133,0,6,0
2004,135,0,6,0
2004,134,0,5,0
2004,131,0,6,0
2004,127,0,5,0
2004,137,0,5,0
2004,130,0,6,0
2004,159,0,5,0
2004,130,0,6,0
2004,133,0,6,0
2004,134,0,5,0
2004,136,0,5,0
2004,131,0,7,0
2004,159,0,5,0
2004,130,0,6,0
2004,132,0,6,0
2004,132,0,5,0
2004,132,0,6,0
2004,136,0,5,0
2004,130,0,7,0
2004,134,0,6,0
2004,133,0,6,0
2004,136,0,5,0
2004,135,0,6,0
2004,136,0,5,0
2004,134,0,7,0
2004,133,0,6,0
2004,132,0,6,0
2004,131,0,5,0
2004,133,0,5,0
2004,135,0,5,0
2004,141,0,4,0
2004,138,0,5,0
2004,135,0,6,0
2004,137,0,5,0
2004,136,0,5,0
2004,131,0,6,0
2004,129,0,6,0
2004,134,0,5,0
2004,130,0,6,0
2004,135,0,5,0
2004,134,0,5,0
2004,133,0,6,0
2004,130,0,6,0
2004,134,0,6,0
2004,129,0,7,0
2004,135,0,4,0
2004,140,0,6,0
2004,135,0,5,0
2004,131,0,7,0
2004,134,0,6,0
2004,136,0,6,0
2004,139,0,5,0
2004,133,0,6,0
2004,134,0,6,0
2004,131,0,6,0
2004,134,0,6,0
2004,131,0,6,0
2004,130,0,6,0
2004,138,0,6,0
2004,130,0,7,0
2004,135,0,6,0
2004,135,0,5,0
2004,134,0,7,0
2004,137,0,7,0
2004,134,0,6,0
2004,134,0,5,0
2004,131,0,6,0
2004,134,0,5,0
2004,135,0,6,0
2004,155,0,4,0
2004,131,0,6,0
2004,132,0,6,0
2004,132,0,6,0
2004,136,0,5,0
2004,135,0,6,0
2004,135,0,6,0
2004,140,0,4,0
2004,137,0,7,0
2004,132,0,6,0
2004,132,0,6,0
2004,135,0,6,0
2004,142,0,5,0
2004,134,0,5,0
2004,135,0,6,0
2004,135,0,6,0
2004,136,0,6,0
2004,131,0,5,0
2004,137,0,6,0
2004,136,0,6,0
2004,133,0,6,0
2004,135,0,5,0
2004,137,0,6,0
2004,134,0,6,0
2004,135,0,7,0
2004,137,0,6,0
2004,135,0,5,0
2004,133,0,5,0
2004,136,0,6,0
2004,137,0,6,0
2004,136,0,6,0
2004,135,0,5,0
2004,134,0,5,0
2004,140,0,5,0
2004,142,0,5,0
2004,141,0,5,0
2004,132,0,6,0
2004,135,0,6,0
2004,135,0,6,0
2004,132,0,6,0
2004,137,0,6,0
2004,135,0,6,0
2004,135,0,6,0
2004,137,0,6,0
2004,128,0,6,0
2004,133,0,6,0
2004,134,0,6,0
2004,131,0,7,0
2004,131,0,6,0
2004,133,0,6,0
2004,135,0,6,0
2004,136,0,6,0
2004,136,0,6,0
2004,135,0,7,0
2004,134,0,6,0
2004,136,0,6,0
2004,135,0,6,0
2004,139,0,6,0
2004,137,0,5,0
2004,136,0,6,0
2004,136,0,6,0
2004,132,0,5,0
2004,136,0,7,0
2004,136,0,6,0
2004,137,0,5,0
2004,130,0,7,0
2004,129,0,6,0
2004,136,0,5,0
2004,132,0,5,0
2004,176,0,5,0
2004,138,0,5,0
2004,134,0,5,0
2004,130,0,5,0
2004,139,0,5,0
2004,137,0,5,0
2004,136,0,6,0
2004,135,0,5,0
2004,135,0,4,0
2004,135,0,5,0
2004,137,0,4,0
2004,132,0,6,0
2004,132,0,5,0
2004,129,0,7,0
2004,138,0,6,0
2004,138,0,7,0
2004,134,0,5,0
2004,135,0,6,0
2004,129,0,6,0
2004,136,0,6,0
2004,134,0,6,0
2004,131,0,5,0
2004,137,0,6,0
2004,135,0,5,0
2004,134,0,6,0
2004,135,0,5,0
2004,135,0,5,0
2004,132,0,5,0
2004,135,0,6,0
2004,137,0,6,0
2004,137,0,5,0
2004,138,0,5,0
2004,136,0,5,0
2004,137,0,6,0
2004,134,0,5,0
2004,151,0,4,0
2004,135,0,5,0
2004,134,0,7,0
2004,134,0,7,0
2004,130,0,6,0
2004,137,0,5,0
2004,131,0,5,0
2004,133,0,5,0
2004,137,0,6,0
2004,137,0,6,0
2004,136,0,6,0
2004,134,0,6,0
2004,133,0,6,0
2004,128,0,5,0
2004,132,0,4,0
2004,134,0,5,0
2004,134,0,6,0
2004,141,0,5,0
2005,159,0,3,0
2005,128,0,6,0
2005,126,0,6,0
2005,132,0,6,0
2005,137,0,4,0
2005,139,0,4,0
2005,154,0,5,0
2005,140,0,5,0
2005,137,0,4,0
2005,139,0,4,0
2005,133,0,6,0
2005,127,0,7,0
2005,135,0,6,0
2005,132,0,6,0
2005,144,0,6,0
2005,142,0,4,0
2005,138,0,5,0
2005,132,0,6,0
2005,133,0,6,0
2005,141,0,6,0
2005,126,0,6,0
2005,127,0,6,0
2005,157,0,5,0
2005,135,0,5,0
2005,133,0,5,0
2005,129,0,5,0
2005,144,0,5,0
2005,144,0,6,0
2005,130,0,6,0
2005,128,0,6,0
2005,149,0,6,0
2005,139,0,6,0
2005,141,0,5,0
2005,137,0,6,0
2005,139,0,5,0
2005,141,0,5,0
2005,126,0,6,0
2005,141,0,3,0
2005,158,0,5,0
2005,133,0,6,0
2005,163,0,5,0
2005,137,0,6,0
2005,135,0,6,0
2005,135,0,6,0
2005,134,0,5,0
2005,138,0,5,0
2005,130,0,6,0
2005,138,0,5,0
2005,135,0,6,0
2005,131,0,6,0
2005,137,0,6,0
2005,132,0,5,0
2005,135,0,6,0
2005,127,0,5,0
2005,135,0,6,0
2005,130,0,5,0
2005,137,0,6,0
2005,134,0,6,0
2005,137,0,5,0
2005,138,0,5,0
2005,131,0,6,0
2005,125,0,7,0
2005,129,0,6,0
2005,132,0,5,0
2005,133,0,8,0
2005,124,0,5,0
2005,150,0,5,0
2005,130,0,6,0
2005,129,0,5,0
2005,131,0,6,0
2005,138,0,6,0
2005,134,0,5,0
2005,130,0,6,0
2005,128,0,6,0
2005,133,0,5,0
2005,140,0,5,0
2005,129,0,8,0
2005,122,0,7,0
2005,131,0,6,0
2005,141,0,4,0
2005,136,0,6,0
2005,130,0,6,0
2005,135,0,6,0
2005,143,0,5,0
2005,129,0,5,0
2005,131,0,5,0
2005,139,0,4,0
2005,137,0,7,0
2005,142,0,6,0
2005,140,0,6,0
2005,153,0,6,0
2005,138,0,5,0
2005,133,0,7,0
2005,136,0,4,0
2005,137,0,5,0
2005,148,0,5,0
2005,133,0,6,0
2005,134,0,6,0
2005,136,0,6,0
2005,134,0,6,0
2005,136,0,5,0
2005,136,0,6,0
2005,133,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,131,0,6,0
2005,134,0,6,0
2005,134,0,6,0
2005,148,0,5,0
2005,133,0,6,0
2005,138,0,5,0
2005,139,0,6,0
2005,136,0,5,0
2005,132,0,6,0
2005,136,0,5,0
2005,133,0,6,0
2005,135,0,6,0
2005,135,0,7,0
2005,141,0,5,0
2005,132,0,6,0
2005,134,0,6,0
2005,136,0,5,0
2005,139,0,5,0
2006,148,0,4,0
2006,147,0,5,0
2006,146,0,5,0
2006,128,0,5,0
2006,133,0,7,0
2007,135,0,5,0
2007,136,0,5,0
2007,136,0,6,0
2007,151,0,6,0
2007,145,0,5,0
2007,137,0,6,0
2007,145,0,6,0
2007,145,0,5,0
2008,130,0,6,0
2008,128,0,6,0
2008,132,0,5,0
2008,135,0,5,0
2008,127,0,7,0
2008,133,0,6,0
2008,137,0,5,0
2008,130,0,7,0
2008,132,0,6,0
2008,136,0,5,0
2008,135,0,5,0
2008,135,0,6,0
2008,139,0,4,0
2008,146,0,5,0
2008,147,0,6,0
2008,138,0,6,0
2008,135,0,6,0
2008,146,0,6,0
2008,137,0,4,0
2008,138,0,6,0
2008,144,0,6,0
2008,149,0,6,0
2008,149,0,5,0
2008,147,0,5,0
2008,150,0,5,0
2008,148,0,4,0
2008,137,0,3,0
2008,154,0,6,0
2008,173,0,5,0
2008,145,0,7,0
2008,146,0,6,0
2008,149,0,5,0
2008,147,0,5,0
2008,149,0,6,0
2008,148,0,4,0
2008,143,0,8,0
2008,145,0,5,0
2008,149,0,6,0
2008,139,0,6,0
2008,150,0,6,0
2009,127,0,6,0
2009,128,0,5,0
2009,123,0,7,0
2009,128,0,5,0
2009,127,0,6,0
2009,141,0,5,0
2010,138,0,5,0
2010,135,0,5,0
2010,127,0,4,0
2010,127,0,6,0
2010,127,0,3,0
2010,133,0,6,0
2010,127,0,6,0
2010,139,0,5,0
2010,139,0,6,0
2010,143,0,5,0
2010,139,0,6,0
2010,141,0,6,0
2010,137,0,6,0
2010,138,0,6,0
2010,137,0,5,0
2010,144,0,5,0
2010,139,0,7,0
2010,138,0,6,0
2010,143,0,6,0
2010,138,0,6,0
2010,137,0,5,0
2010,138,0,6,0
2010,142,0,5,0
2010,142,0,6,0
2010,139,0,5,0
2010,136,0,6,0
2010,143,0,5,0
2010,138,0,6,0
2010,140,0,5,0
2010,137,0,5,0
2010,140,0,5,0
2010,139,0,6,0
2010,137,0,6,0
2010,144,0,4,0
2010,139,0,5,0
2010,137,0,6,0
2010,139,0,5,0
2010,141,0,5,0
2010,142,0,4,0
2010,143,0,3,0
2010,137,0,6,0
2010,140,0,6,0
2010,138,0,6,0
2010,146,0,7,0
2010,164,0,5,0
2006,139,0,6,0
2006,127,0,5,0
2006,147,0,5,0
2006,132,0,6,0
2006,134,0,5,0
2006,133,0,6,0
2006,131,0,6,0
2006,133,0,5,0
2006,139,0,7,0
2006,127,0,5,0
2006,149,0,5,0
2006,149,0,4,0
2006,132,0,6,0
2006,129,0,6,0
2006,139,0,4,0
2006,130,0,6,0
2006,134,0,6,0
2006,129,0,6,0
2006,133,0,7,0
2006,150,0,4,0
2006,137,0,5,0
2006,133,0,5,0
2006,153,0,5,0
2006,132,0,5,0
2006,133,0,5,0
2006,133,0,5,0
2006,138,0,4,0
2006,134,0,6,0
2006,133,0,5,0
2006,133,0,5,0
2006,134,0,6,0
2006,138,0,3,0
2006,134,0,5,0
2006,129,0,6,0
2006,129,0,5,0
2006,132,0,7,0
2006,134,0,5,0
2006,131,0,6,0
2006,132,0,6,0
2006,137,0,8,0
2006,132,0,6,0
2006,147,0,5,0
2006,132,0,4,0
2006,132,0,6,0
2006,128,0,5,0
2006,129,0,6,0
2006,129,0,6,0
2006,133,0,6,0
2006,132,0,6,0
2006,132,0,7,0
2006,128,0,5,0
2006,135,0,5,0
2006,126,0,6,0
2006,146,0,6,0
2006,170,0,4,0
2006,127,0,6,0
2006,128,0,6,0
2006,127,0,5,0
2006,156,0,6,0
2006,132,0,6,0
2006,131,0,6,0
2006,130,0,6,0
2006,130,0,5,0
2006,151,0,4,0
2006,125,0,6,0
2006,154,0,5,0
2006,130,0,5,0
2006,135,0,7,0
2006,132,0,5,0
2006,129,0,6,0
2006,149,0,4,0
2006,147,0,5,0
2006,128,0,6,0
2006,132,0,5,0
2006,134,0,6,0
2006,130,0,6,0
2006,134,0,5,0
2006,128,0,6,0
2006,152,0,5,0
2006,132,0,6,0
2006,132,0,7,0
2006,133,0,6,0
2006,132,0,5,0
2006,131,0,5,0
2006,169,0,5,0
2006,132,0,6,0
2006,153,0,4,0
2006,130,0,6,0
2006,134,0,5,0
2006,130,0,5,0
2006,134,0,5,0
2006,132,0,5,0
2006,126,0,7,0
2006,130,0,4,0
2006,131,0,6,0
2007,131,0,6,0
2007,131,0,6,0
2007,132,0,5,0
2007,132,0,6,0
2007,133,0,6,0
2007,133,0,6,0
2007,136,0,6,0
2007,131,0,6,0
2007,142,0,6,0
2007,135,0,6,0
2007,133,0,5,0
2007,133,0,5,0
2007,134,0,5,0
2007,134,0,6,0
2007,132,0,6,0
2007,133,0,5,0
2007,130,0,6,0
2007,133,0,6,0
2007,149,0,5,0
2007,131,0,5,0
2007,138,0,6,0
2007,138,0,6,0
2007,143,0,4,0
2007,136,0,6,0
2007,132,0,5,0
2007,146,0,5,0
2007,146,0,4,0
2007,135,0,6,0
2007,130,0,6,0
2007,135,0,5,0
2007,136,0,5,0
2007,131,0,6,0
2007,133,0,5,0
2007,130,0,6,0
2007,137,0,4,0
2007,137,0,6,0
2007,138,0,5,0
2007,133,0,7,0
2007,134,0,5,0
2007,137,0,5,0
2007,137,0,6,0
2007,135,0,6,0
2007,132,0,7,0
2007,131,0,6,0
2007,138,0,6,0
2007,146,0,5,0
2007,168,0,4,0
2007,134,0,5,0
2007,143,0,5,0
2007,139,0,6,0
2007,145,0,6,0
2007,133,0,5,0
2007,137,0,6,0
2007,134,0,6,0
2007,132,0,5,0
2007,164,0,4,0
2007,133,0,5,0
2007,137,0,6,0
2007,133,0,6,0
2007,131,0,7,0
2007,155,0,5,0
2007,134,0,5,0
2007,143,0,5,0
2007,132,0,6,0
2007,146,0,5,0
2007,160,0,5,0
2007,137,0,5,0
2007,138,0,6,0
2007,138,0,5,0
2007,137,0,6,0
2007,131,0,7,0
2007,132,0,6,0
2007,148,0,5,0
2007,129,0,6,0
2007,138,0,6,0
2007,136,0,6,0
2007,136,0,5,0
2007,140,0,7,0
2007,134,0,6,0
2007,132,0,6,0
2007,134,0,6,0
2007,135,0,6,0
2007,145,0,5,0
2007,133,0,6,0
2007,135,0,6,0
2007,162,0,3,0
2007,140,0,6,0
2007,131,0,5,0
2007,146,0,6,0
2007,150,0,5,0
2007,148,0,5,0
2007,139,0,6,0
2007,137,0,6,0
2007,156,0,4,0
2007,145,0,5,0
2007,147,0,5,0
2007,135,0,4,0
2007,137,0,5,0
2007,137,0,6,0
2007,135,0,6,0
2007,150,0,5,0
2007,138,0,6,0
2007,134,0,6,0
2007,134,0,4,0
2007,133,0,6,0
2007,132,0,6,0
2007,133,0,6,0
2008,130,0,6,0
2008,158,0,4,0
2008,132,0,6,0
2008,133,0,6,0
2008,137,0,6,0
2008,136,0,5,0
2008,138,0,6,0
2008,130,0,6,0
2008,130,0,6,0
2008,134,0,4,0
2008,132,0,6,0
2008,143,0,6,0
2008,130,0,6,0
2008,129,0,6,0
2009,126,0,6,0
2009,125,0,7,0
2009,130,0,5,0
2009,171,0,5,0
2009,170,0,4,0
2010,136,0,5,0
2010,128,0,7,0
2010,136,0,6,0
2010,138,0,5,0
2010,139,0,5,0
2010,139,0,5,0
2010,138,0,6,0
2010,140,0,5,0
2010,138,0,6,0
2010,136,0,5,0
2010,138,0,5,0
2010,138,0,5,0
2010,139,0,5,0
2010,137,0,5,0
2010,137,0,6,0
2010,143,0,5,0
2010,139,0,5,0
2010,137,0,6,0
2010,136,0,6,0
2010,139,0,5,0
2010,137,0,6,0
2010,124,0,5,0
2010,135,0,6,0
2010,127,0,4,0
2010,138,0,5,0
2010,137,0,5,0
2010,138,0,5,0
2010,126,0,8,0
2010,137,0,5,0
2010,146,0,4,0
2010,163,0,5,0
2010,124,0,6,0
2010,143,0,3,0
2010,136,0,6,0
2010,136,0,6,0
2010,136,0,5,0
2010,131,0,6,0
2010,136,0,6,0
2010,128,0,7,0
2010,137,0,6,0
2010,126,0,8,0
2010,138,0,5,0
2010,139,0,5,0
2010,127,0,7,0
2010,134,0,5,0
2010,137,0,6,0
2010,168,0,6,0
2010,136,0,6,0
2010,136,0,6,0
2010,123,0,5,0
2010,126,0,8,0
2010,139,0,6,0
2010,123,0,5,0
2010,138,0,6,0
2010,126,0,5,0
2010,124,0,6,0
2010,138,0,5,0
2010,139,0,5,0
2010,138,0,6,0
2010,124,0,6,0
2010,137,0,5,0
2010,139,0,6,0
2010,127,0,7,0
2010,139,0,5,0
2010,141,0,5,0
2010,137,0,6,0
2010,137,0,5,0
2010,148,0,4,0
2010,124,0,5,0
2010,138,0,6,0
2010,127,0,3,0
2010,126,0,4,0
2010,125,0,5,0
2010,125,0,8,0
2010,141,0,6,0
2010,138,0,6,0
2010,139,0,5,0
2010,124,0,6,0
2010,136,0,6,0
2010,129,0,7,0
2010,138,0,6,0
2010,124,0,6,0
2010,125,0,5,0
2010,141,0,6,0
2010,137,0,5,0
2010,123,0,6,0
2010,128,0,5,0
2010,138,0,5,0
2010,126,0,5,0
2010,137,0,6,0
2010,136,0,5,0
2010,140,0,5,0
2010,138,0,6,0
2010,143,0,5,0
2010,142,0,5,0
2010,139,0,5,0
2010,139,0,5,0
2010,140,0,6,0
2010,140,0,5,0
2010,136,0,7,0
2010,138,0,5,0
2010,137,0,6,0
2006,130,0,6,1
2008,131,0,6,1
2008,132,0,5,1
2007,134,0,6,1
2008,136,0,5,1
2006,128,0,6,1
2006,127,0,7,1
2002,144,0,5,1
2006,138,0,3,1
2006,131,0,5,1
2006,128,0,6,1
2006,132,0,6,1
2010,138,0,6,1
2006,129,0,6,1
2006,130,0,6,1
2005,133,0,6,1
2006,136,0,6,1
2006,129,0,6,1
2006,122,0,5,1
2008,130,0,5,1
2006,137,0,4,1
2006,132,0,6,1
2006,129,0,6,1
2006,127,0,6,1
2006,130,0,6,1
2006,128,0,7,1
2006,131,0,6,1
2007,132,0,5,1
2006,125,0,7,1
2006,131,0,5,1
2006,131,0,6,1
2006,129,0,6,1
2006,122,0,6,1
2004,130,0,6,1
2006,131,0,6,1
2006,130,0,6,1
2005,130,0,4,1
2006,129,0,5,1
2005,137,0,6,1
2006,129,0,5,1
2006,131,0,5,1
2005,129,0,6,1
2006,148,0,6,1
2009,127,0,6,1
2006,129,0,6,1
2010,124,0,5,1
2006,135,0,6,1
2006,127,0,6,1
2006,130,0,6,1
2006,126,0,6,1
2006,131,0,6,1
2006,134,0,5,1
2006,133,0,6,1
2006,128,0,6,1
2006,128,0,6,1
2006,132,0,6,1
2006,133,0,5,1
2007,132,0,5,1
2008,132,0,7,1
2009,134,0,6,1
2008,135,0,6,1
2007,134,0,5,1
2009,132,0,6,1
2009,135,0,6,1
2007,133,0,6,1
2008,133,0,6,1
2010,124,0,5,1
2003,139,0,6,1
2005,136,0,6,1
2003,140,0,6,1
2003,141,0,5,1
2006,126,0,5,1
2003,131,0,5,1
2008,144,0,5,1
2008,136,0,6,1
2008,130,0,6,1
2008,129,0,6,1
2008,132,0,6,1
2008,134,0,6,1
2010,137,0,5,1
2010,117,0,7,1
2008,128,0,6,1
2008,133,0,6,1
2009,127,0,6,1
2009,131,0,6,1
2009,133,0,5,1
2008,136,0,7,1
2009,132,0,4,1
2009,124,0,6,1
2010,137,0,6,1
2010,139,0,5,1
2003,129,0,6,1
2004,137,0,6,1
2008,133,0,6,1
2008,134,0,6,1
2008,136,0,6,1
2008,131,0,5,1
2003,137,0,6,1
2006,133,0,6,1
2006,129,0,6,1
2004,132,0,6,1
2006,132,0,5,1
2006,128,0,6,1
2006,129,0,6,1
2002,152,0,5,1
2006,126,0,6,1
2006,126,0,6,1
2002,146,0,6,1
2006,120,0,5,1
2005,137,0,6,1
2005,126,0,5,1
2006,127,0,6,1
2002,147,0,5,1
2006,126,0,6,1
2003,138,0,5,1
2006,134,0,4,1
2003,136,0,5,1
2006,127,0,6,1
2004,141,0,5,1
2006,129,0,5,1
2006,126,0,5,1
2006,135,0,7,1
2006,130,22,6,1
2008,131,36,5,1
2008,132,21,5,1
2007,134,30,4,1
2008,136,19,4,1
2006,128,42,4,1
2006,127,43,4,1
2002,144,19,4,1
2006,138,31,4,1
2006,131,23,5,1
2006,128,44,4,1
2006,132,37,4,1
2010,138,22,5,1
2006,129,41,5,1
2006,130,38,5,1
2005,133,19,4,1
2006,136,21,5,1
2006,129,42,4,1
2006,122,27,5,1
2008,130,20,4,1
2006,137,20,4,1
2006,132,37,4,1
2006,129,18,6,1
2006,127,24,5,1
2006,130,23,6,1
2006,128,36,4,1
2006,131,39,4,1
2007,132,30,5,1
2006,125,23,7,1
2006,131,32,5,1
2006,131,39,4,1
2006,129,19,5,1
2006,122,50,3,1
2004,130,20,4,1
2006,131,18,6,1
2006,130,17,6,1
2005,130,18,5,1
2006,129,29,4,1
2005,137,16,5,1
2006,129,19,5,1
2006,131,30,4,1
2005,129,18,6,1
2006,148,17,5,1
2009,127,51,4,1
2006,129,42,3,1
2010,124,45,4,1
2006,135,19,5,1
2006,127,43,4,1
2006,130,40,4,1
2006,126,25,5,1
2006,131,38,4,1
2006,134,35,4,1
2006,133,30,4,1
2006,128,43,4,1
2006,128,40,5,1
2006,132,16,6,1
2006,133,19,5,1
2007,132,14,4,1
2008,132,19,6,1
2009,134,29,5,1
2008,135,32,4,1
2007,134,32,5,1
2009,132,30,4,1
2009,135,27,6,1
2007,133,17,5,1
2008,133,21,5,1
2010,124,45,4,1
2003,139,13,6,1
2005,136,15,6,1
2003,140,25,4,1
2003,141,15,3,1
2006,126,38,4,1
2003,131,20,5,1
2008,144,32,3,1
2008,136,31,4,1
2008,130,37,5,1
2008,129,39,4,1
2008,132,36,4,1
2008,134,18,5,1
2010,137,32,4,1
2010,117,52,4,1
2008,128,21,5,1
2008,133,22,4,1
2009,127,31,5,1
2009,131,33,5,1
2009,133,37,4,1
2008,136,23,5,1
2009,132,21,4,1
2009,124,19,5,1
2010,137,16,4,1
2010,139,29,4,1
2003,129,39,5,1
2004,137,39,4,1
2008,133,34,5,1
2008,134,22,5,1
2008,136,31,4,1
2008,131,36,4,1
2003,137,21,5,1
2006,133,27,6,1
2006,129,43,5,1
2004,132,19,4,1
2006,132,38,5,1
2006,128,42,4,1
2006,129,21,5,1
2002,152,13,5,1
2006,126,46,4,1
2006,126,45,4,1
2002,146,23,5,1
2006,120,29,5,1
2005,137,16,7,1
2005,126,30,4,1
2006,127,22,5,1
2002,147,18,5,1
2006,126,22,6,1
2003,138,15,5,1
2006,134,16,3,1
2003,136,21,4,1
2006,127,22,5,1
2004,141,17,5,1
2006,129,45,4,1
2006,126,46,5,1
2006,135,33,5,1
